source_family,run_name,run_label,question,submitted_answer,expected_answer,correct,valid,verified_internal,status,closeout_mode,total_tokens,elapsed_seconds
published_four_run_ledger,frozen,Frozen pruned,Q17,10,243,False,True,,closed_out_hierarchical_fallback_highest_confidence,Highest confidence,721538,
published_four_run_ledger,frozen,Frozen pruned,Q27,97,223,False,True,,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization,Strict consensus,714856,
published_four_run_ledger,unrestricted,Unrestricted,Q17,243,243,True,True,,closed_out_hierarchical_fallback_majority_vote,Majority vote,1228745,
published_four_run_ledger,unrestricted,Unrestricted,Q27,223,223,True,True,,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization,Strict consensus,1105662,
published_four_run_ledger,current,Apr27 current 0.2.3,Q17,198,243,False,True,,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,159387,
published_four_run_ledger,current,Apr27 current 0.2.3,Q27,67,223,False,True,,closed_out_simple_answer_arbitration,,142291,
published_four_run_ledger,official,Apr28 official boot run,Q17,69,243,False,True,,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,170895,
published_four_run_ledger,official,Apr28 official boot run,Q27,223,223,True,True,,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,178898,
local_colab_export_payload,AIME-2026_export_explicit_problem_indices_1q_20260428-233306,explicit_problem_indices_1q_20260428-233306,Q17,32,243,False,,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,1163888,1026.7872
local_colab_export_payload,AIME-2026_export_explicit_problem_indices_3q_20260429-021145,explicit_problem_indices_3q_20260429-021145,Q17,7,243,False,,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,2295686,1292.7299
local_colab_export_payload,AIME-2026_export_explicit_problem_indices_3q_20260429-032853,explicit_problem_indices_3q_20260429-032853,Q17,32,243,False,,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,2207900,791.7529
local_colab_export_payload,AIME-2026_export_explicit_problem_indices_5q_20260427-193853,explicit_problem_indices_5q_20260427-193853,Q17,198,243,False,,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,159387,470.4052
local_colab_export_payload,AIME-2026_export_full_dataset_30q_20260428-022518,full_dataset_30q_20260428-022518,Q17,69,243,False,,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,170895,570.2469
local_colab_export_payload,AIME-2026_export_explicit_problem_indices_3q_20260429-032853,explicit_problem_indices_3q_20260429-032853,Q27,223,223,True,,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,2258286,1254.8914
local_colab_export_payload,AIME-2026_export_explicit_problem_indices_5q_20260427-204437,explicit_problem_indices_5q_20260427-204437,Q27,67,223,False,,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,142291,448.9166
local_colab_export_payload,AIME-2026_export_full_dataset_30q_20260428-022518,full_dataset_30q_20260428-022518,Q27,223,223,True,,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,178898,554.0754
